pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net,NN_ELU,NN_PReLU,NN_Tanh,y_ground_truth
21.351975,233.073574,386.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,-0.171775000012532,0.0,0.0,1.1227539199999996,-4.505322250000001,-0.11328129,-3.19532228,-506.128103209175,-597.0487382359518,167.4264757778253,782.7086639914363,580.8479999999865,-0.299369752407074,-0.25897717475891113,-0.37735089659690857,-0.30025583505630493,1.1227539199999996
21.351975,232.881574,386.54599,19200.0,0.0,-9.599999999999795,0.0,0.0,1.4209433629730483e-11,0.0,0.0,1.1138183799999994,-4.511425770000001,-0.10214849,-3.247771,-506.1281032091705,-597.0487382359387,167.42647577782276,782.7086639914235,580.9919999999868,-0.2991277575492859,-0.2527889609336853,-0.37737858295440674,-0.3021683990955353,1.1138183799999994
21.351975,232.689574,386.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,-1.4212275800673524e-11,0.0,0.0,1.1072754099999995,-4.5111328,-0.09291997,-3.2735083100000004,-506.128103209175,-597.0487382359518,167.4264757778253,782.7086639914364,581.1119999999879,-0.2986784875392914,-0.249030202627182,-0.37525618076324463,-0.30290526151657104,1.1072754099999995
21.351975,232.497574,386.54599,19200.0,0.0,-9.599999999999795,0.0,0.0,1.4209433629730483e-11,0.0,0.0,1.0981445599999995,-4.50776366,-0.08559574,-3.28519775,-506.1281032091705,-597.0487382359387,167.42647577782276,782.7086639914236,580.9919999999868,-0.2986859083175659,-0.24898400902748108,-0.3751993477344513,-0.30294495820999146,1.0981445599999995
21.351975,232.305574,386.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,-1.4212275800673524e-11,0.0,0.0,1.0909668299999995,-4.51333006,-0.08032228,-3.28894041,-506.128103209175,-597.0487382359518,167.4264757778253,782.7086639914363,581.0399999999906,-0.2986881136894226,-0.2489888221025467,-0.3751993775367737,-0.3029475808143616,1.0909668299999997
21.351975,232.11357400000003,386.54599,19200.0,0.0,-9.599999999999651,0.0,0.0,2.1314860987331487e-11,0.0,0.0,1.0842285499999995,-4.51191404,-0.07661135,-3.28832519,-506.1281032091682,-597.0487382359321,167.4264757778215,782.7086639914171,580.8719999999972,-0.2987132966518402,-0.24899502098560333,-0.37520453333854675,-0.3029753565788269,1.0842285499999995
21.351975,231.921574,386.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,-2.1317703158274524e-11,0.0,0.0,1.0762207499999996,-4.50385739,-0.07377931,-3.28945313,-506.128103209175,-597.0487382359518,167.4264757778253,782.7086639914363,580.9200000000012,-0.2987194061279297,-0.24898692965507507,-0.3752193748950958,-0.3029916286468506,1.0762207499999996
21.351975,231.72957400000004,386.54599,19200.0,0.0,-9.599999999999936,0.0,0.0,7.1040062721294805e-12,0.0,0.0,1.0706543499999994,-4.507177690000001,-0.07143557,-3.28714599,-506.1281032091727,-597.0487382359453,167.42647577782404,782.70866399143,580.776000000001,-0.29876893758773804,-0.24900726974010468,-0.37523505091667175,-0.3030478358268738,1.0706543499999994
21.351975,231.537574,386.54599,19200.0,0.0,-9.599999999999936,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,1.0673828499999996,-4.50932613,-0.06977542,-3.28740234,-506.1281032091727,-597.0487382359452,167.42647577782404,782.70866399143,580.6560000000056,-0.298811674118042,-0.24901330471038818,-0.37524810433387756,-0.3031120002269745,1.0673828499999996
21.351975,231.345574,386.54599,19200.0,0.0,-9.600000000000222,0.0,0.0,-1.4212275800673524e-11,0.0,0.0,1.0658203399999997,-4.50517574,-0.06899415,-3.28894044,-506.12810320917725,-597.0487382359584,167.42647577782657,782.7086639914429,580.4400000000139,-0.2988828122615814,-0.24905076622962952,-0.3752731680870056,-0.30318155884742737,1.0658203399999997
21.351975,231.153574,386.54599,19200.0,0.0,-9.599999999999936,0.0,0.0,1.4209433629730483e-11,0.0,0.0,1.0663086299999995,-4.5020019300000005,-0.06845703,-3.2924267899999995,-506.1281032091727,-597.0487382359453,167.42647577782404,782.70866399143,580.1040000000154,-0.2989428639411926,-0.2490602284669876,-0.37530046701431274,-0.30325302481651306,1.0663086299999995
21.351975,230.961574,386.54599,19200.0,0.0,-9.600000000000222,0.0,0.0,-1.4212275800673524e-11,0.0,0.0,1.0672363699999996,-4.50903317,-0.06816405,-3.29745121,-506.12810320917714,-597.0487382359582,167.42647577782657,782.7086639914429,579.9600000000152,-0.29899802803993225,-0.24907556176185608,-0.37535127997398376,-0.30330127477645874,1.0672363699999996
21.351975,230.769574,386.54599,19200.0,0.0,-9.600000000000222,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,1.0675293499999996,-4.50971677,-0.06821288,-3.30201418,-506.12810320917714,-597.0487382359584,167.42647577782657,782.7086639914428,579.6000000000174,-0.2990620732307434,-0.2490929663181305,-0.37538987398147583,-0.30335742235183716,1.0675293499999996
21.351975,230.577574,386.54599,19200.0,0.0,-9.599999999999936,0.0,0.0,1.4209433629730483e-11,0.0,0.0,1.0653320799999997,-4.51249997,-0.06821289,-3.30150148,-506.1281032091727,-597.0487382359453,167.42647577782404,782.70866399143,579.5040000000154,-0.299081951379776,-0.2490832358598709,-0.37543174624443054,-0.30336707830429077,1.0653320799999997
21.351975,230.385574,386.54599,19200.0,0.0,-9.599999999999936,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,1.0631836299999995,-4.50424804,-0.0682129,-3.3013989500000003,-506.1281032091727,-597.0487382359452,167.42647577782404,782.70866399143,579.312000000017,-0.29911547899246216,-0.24908451735973358,-0.3754711151123047,-0.3033883571624756,1.0631836299999997
21.351975,230.193574,386.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,-7.1068484430725216e-12,0.0,0.0,1.0624512099999994,-4.5131836100000005,-0.06811524,-3.29950197,-506.12810320917487,-597.0487382359518,167.4264757778253,782.7086639914364,579.3120000000112,-0.2991279065608978,-0.24906428158283234,-0.3755033016204834,-0.3034156858921051,1.0624512099999994
