pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net,y_ground_truth.1,Neural_Net.1,Sequential_Neural_Net
-10.18338506,182.44682006,386.78,22800.0,-5.520685500000004,-1.8810430000000624,0.0,-0.5948749999999943,1.715175000001068,0.0,0.0,0.7084472799999999,-4.951855459999999,-0.3241211099999998,-1.35136236,-175.71073128934148,150.26907496492737,72.15378757002163,231.24253352320235,359.6159999999974,0.7084472799999999,0.7500749826431274,0.7084472799999999,0.7495129,0.7135617733001709
-10.29401983,182.40984606,386.78,22800.0,-5.531738499999994,-1.8486999999998943,0.0,-0.5526499999994878,1.6171500000083938,0.0,0.0,0.7106933799999999,-4.96005858,-0.3220214999999998,-1.35125981,-174.83064048099092,151.29868577016546,72.15387092237162,231.242692382926,359.4239999999961,0.7106933799999999,0.7496845722198486,0.7106933799999999,0.7491785,0.7132083177566528
-10.40487289,182.37352677,386.78,22800.0,-5.54265299999999,-1.8159644999998648,0.0,-0.5457249999998299,1.636775000001478,0.0,0.0,0.7095703199999999,-4.95610348,-0.3230468999999998,-1.3539770799999995,-173.93464449494192,152.33213929606168,72.15389638483163,231.24274091004557,359.5199999999982,0.7095703199999999,0.7493239045143127,0.7095703199999999,0.74872667,0.7127655148506165
-10.51596137,182.33794014,386.78,22800.0,-5.554424000000013,-1.779331500000012,0.0,-0.5885500000011307,1.831649999992635,0.0,0.0,0.7100586,-4.95751949,-0.3248047199999998,-1.35648928,-172.9234885985464,153.4746730600525,72.15382163928969,231.2425984658668,359.3760000000009,0.7100586,0.7489703893661499,0.7100586,0.7480509,0.7123926877975464
-10.62731918,182.303231,386.78,22800.0,-5.56789049999999,-1.7354570000000535,0.0,-0.6733249999988361,2.193724999997926,0.0,0.0,0.71367187,-4.97661129,-0.3235840199999998,-1.3585913399999998,-171.69972767132452,154.82167331785223,72.15371969970153,231.24240419996715,359.5200000000011,0.71367187,0.7485173940658569,0.71367187,0.7473283,0.7118836045265198
-10.73898597,182.26958281,386.78,22800.0,-5.583339499999997,-1.6824094999999772,0.0,-0.7724500000003681,2.652375000003815,0.0,0.0,0.7120605299999999,-4.993456989999999,-0.3219726799999998,-1.36182131,-170.2030678998966,156.42138748387677,72.15364162078501,231.24225540268648,359.4,0.7120605299999999,0.7479594945907593,0.7120605299999999,0.74643874,0.7116290330886841
-10.85099741,182.23718736,386.78,22800.0,-5.600572000000009,-1.6197725000000671,0.0,-0.8616250000006426,3.131849999995495,0.0,0.0,0.70620115,-4.99697263,-0.3237792999999998,-1.36161624,-168.41537517633571,158.27570744662333,72.15356419912291,231.2421078584269,359.3040000000008,0.70620115,0.7471479177474976,0.70620115,0.74540687,0.7108721137046814
-10.96338354,182.20623783,386.78,22800.0,-5.619306500000008,-1.5474765000000446,0.0,-0.93672499999986,3.6148000000011393,0.0,0.0,0.70991208,-5.00463863,-0.3249511999999998,-1.3581299,-166.328577500277,160.37638182040283,72.15349210756241,231.2419704715348,359.1839999999996,0.70991208,0.7460690140724182,0.70991208,0.74411297,0.7103968262672424
-11.07616858,182.17692841,386.78,22800.0,-5.639251999999999,-1.4654710000000648,0.0,-0.997274999999575,4.100274999998987,0.0,0.0,0.71000972,-5.0228027,-0.3225097999999998,-1.35618165,-163.93510603925142,162.71460969136606,72.15341624649727,231.24182590119216,359.1359999999986,0.71000972,0.7446943521499634,0.71000972,0.74268997,0.7093672752380371
-11.18937328,182.14946164,386.78,22800.0,-5.660234999999991,-1.3733384999999032,0.0,-1.0491499999996097,4.60662500000808,0.0,0.0,0.70712888,-5.02866208,-0.3214844199999999,-1.35848877,-161.21725539215086,165.29297715525996,72.15333021760796,231.24166195247184,359.27999999999884,0.70712888,0.7430022954940796,0.70712888,0.7413001,0.7084962725639343
-11.30302225,182.124073,386.78,22800.0,-5.682448500000001,-1.2694319999999948,0.0,-1.1106750000005046,5.195324999995421,0.0,0.0,0.70908201,-5.025537079999999,-0.3236816799999998,-1.36064209,-158.12291587710172,168.15172264429054,72.15319996177757,231.2414137126416,359.32799999999986,0.70908201,0.7411415576934814,0.70908201,0.73960876,0.7071014642715454
-11.41713431,182.10099976,386.78,22800.0,-5.705602999999995,-1.1536620000001108,0.0,-1.1577249999996648,5.788499999994201,0.0,0.0,0.7099121,-5.036376939999999,-0.3243164399999999,-1.36161621,-154.64310247180526,171.2826508405654,72.15303800797477,231.24110506063505,359.3280000000028,0.7099121,0.7389297485351562,0.7099121,0.7375618,0.7062087059020996
-11.53170841,182.08043262,386.78,22800.0,-5.728705000000005,-1.028357000000142,0.0,-1.1551000000005192,6.265249999998446,0.0,0.0,0.70761719,-5.0498535,-0.3217773599999998,-1.36366701,-150.83673865832236,174.60377549491054,72.15293877619214,231.2409159490853,359.42400000000487,0.70761719,0.7364462018013,0.70761719,0.73517597,0.7044640183448792
-11.64671771,182.06249243,386.78,22800.0,-5.750464999999991,-0.8970095000000811,0.0,-1.0879999999993113,6.56737500000304,0.0,0.0,0.70458983,-5.04565429,-0.3216797099999998,-1.3641284299999998,-146.79668760150122,178.0001103635737,72.15294154093098,231.24092121770724,359.42400000000487,0.70458983,0.7337110042572021,0.70458983,0.73287094,0.7028566598892212
-11.762112730000002,182.04723333,386.78,22800.0,-5.769751000000012,-0.762954999999863,0.0,-0.9643000000010276,6.702725000010901,0.0,0.0,0.70415038,-5.03144532,-0.3241211099999998,-1.35971925,-142.61420510172636,181.36647214147075,72.15297077890342,231.24097693426816,359.40000000000583,0.70415038,0.7307959794998169,0.70415038,0.73095804,0.700984537601471
