pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_S235JR_Gear_Normal_3,Random_Forest_S235JR_Gear_Normal_3
-50.857798,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.5729979499999998,-5.53662105,-0.4885251999999999,-0.64368895,0.0,0.0,0.0,0.0,0.0,,
-50.665798,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.5795898999999997,-5.5361328,-0.4821775499999999,-0.64497075,0.0,0.0,0.0,0.0,0.0,,
-50.473798,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.5751953999999997,-5.5344239,-0.4775389999999999,-0.64163815,0.0,0.0,0.0,0.0,0.0,,
-50.281798,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.5810547999999996,-5.53320325,-0.4736327499999999,-0.6424072000000001,0.0,0.0,0.0,0.0,0.0,,
-50.089798,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.5852051999999996,-5.53271505,-0.4699706499999999,-0.6447144,0.0,0.0,0.0,0.0,0.0,,
-49.897798,209.482,386.545971,19200.0,9.599999999999833,0.0,0.0,-8.910205906431656e-12,0.0,0.0,0.0,-0.5947266499999997,-5.533203200000001,-0.4658201999999999,-0.6426635,0.0,0.0,0.0,0.0,0.0,,
-49.705798,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,8.853362487570848e-12,0.0,0.0,0.0,-0.5905762999999996,-5.5334474,-0.4619139,-0.6403563999999999,0.0,0.0,0.0,0.0,0.0,,
-49.513798,209.482,386.545971,19200.0,9.600000000000186,0.0,0.0,8.853362487570848e-12,0.0,0.0,0.0,-0.5656738499999996,-5.5324709,-0.4592284,-0.63881835,0.0,0.0,0.0,0.0,0.0,,
-49.321798,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,-8.910205906431656e-12,0.0,0.0,0.0,-0.5498045999999996,-5.5307619,-0.4577635999999999,-0.63779295,0.0,0.0,0.0,0.0,0.0,,
-49.129798,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.5566404999999996,-5.52929705,-0.45605475,-0.63779295,0.0,0.0,0.0,0.0,0.0,,
-48.937798,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.5754393499999997,-5.529541200000001,-0.4541018499999999,-0.6388183000000001,0.0,0.0,0.0,0.0,0.0,,
-48.74579799999999,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.5881347499999996,-5.53002955,-0.4523929499999999,-0.6383056,0.0,0.0,0.0,0.0,0.0,,
-48.553798,209.482,386.545971,19200.0,9.599999999999833,0.0,0.0,-8.910205906431656e-12,0.0,0.0,0.0,-0.5664061999999996,-5.531250249999999,-0.45043975,-0.63984365,0.0,0.0,0.0,0.0,0.0,,
-48.36179799999999,209.482,386.545971,19200.0,9.599999999999833,0.0,0.0,-2.8421709430404014e-14,0.0,0.0,0.0,-0.5668945499999997,-5.53247095,-0.449219,-0.64010005,0.0,0.0,0.0,0.0,0.0,,
-48.169798,209.482,386.545971,19200.0,9.600000000000186,0.0,0.0,1.7763568394002505e-11,0.0,0.0,0.0,-0.5849609999999996,-5.532959199999999,-0.4479982499999999,-0.6401001,0.0,0.0,0.0,0.0,0.0,,
-47.977798,209.482,386.545971,19200.0,9.600000000000186,0.0,0.0,-2.8421709430404014e-14,0.0,0.0,0.0,-0.5966797499999996,-5.53515625,-0.4455567499999999,-0.64061275,0.0,0.0,0.0,0.0,0.0,,
