pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_AL_2007_T4_Plate_Normal_3,Random_Forest_AL_2007_T4_Plate_Normal_3
-1.148045,168.80831834999998,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,3.552710000644631e-11,0.0,0.0,0.3247070500000001,-4.84179685,-0.39624045,-0.6101075,0.0,0.0,0.0,0.0,0.0,,
-1.148045,168.69165164999998,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999925789,0.0,0.0,0.3247070000000001,-4.85620115,-0.3964846,-0.60549325,0.0,0.0,0.0,0.0,0.0,,
-1.148045,168.57498499999997,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,0.0001249999570518,0.0,0.0,0.3249511500000001,-4.8381347,-0.3964846,-0.6070312499999999,0.0,0.0,0.0,0.0,0.0,,
-1.148045,168.45831835,392.77999,22800.0,0.0,-5.833332499999244,0.0,0.0,7.105430000343797e-11,0.0,0.0,0.3249511500000001,-4.83056635,-0.3964846000000001,-0.59780265,0.0,0.0,0.0,0.0,0.0,,
-1.148045,168.34165165000002,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.000125000028106,0.0,0.0,0.3244628500000001,-4.87182615,-0.3967287500000001,-0.58447255,0.0,0.0,0.0,0.0,0.0,,
-1.148045,168.224985,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,0.0001249999570518,0.0,0.0,0.3254394000000001,-4.89624025,-0.3967287500000001,-0.58934325,0.0,0.0,0.0,0.0,0.0,,
-1.148045,168.10831835,392.77999,22800.0,0.0,-5.833332499999244,0.0,0.0,7.105430000343797e-11,0.0,0.0,0.3244629000000001,-4.8779297,-0.3964846,-0.60651865,0.0,0.0,0.0,0.0,0.0,,
-1.148045,167.99165165,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.000125000028106,0.0,0.0,0.3232422000000001,-4.860839799999999,-0.3969729,-0.61420905,0.0,0.0,0.0,0.0,0.0,,
-1.148045,167.87498499999998,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,0.0001249999570518,0.0,0.0,0.3237304500000001,-4.854003799999999,-0.3969729,-0.6067749499999999,0.0,0.0,0.0,0.0,0.0,,
-1.148045,167.75831835000002,392.77999,22800.0,0.0,-5.833332499999244,0.0,0.0,7.105430000343797e-11,0.0,0.0,0.3247070000000001,-4.83544925,-0.39672875,-0.60677495,0.0,0.0,0.0,0.0,0.0,,
-1.148045,167.64165165000003,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.000125000028106,0.0,0.0,0.3234862500000001,-4.8652345,-0.3974612,-0.60472405,0.0,0.0,0.0,0.0,0.0,,
-1.148045,167.52498500000002,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,0.0001249999570518,0.0,0.0,0.3247070000000002,-4.88574225,-0.39721705,-0.5875486999999999,0.0,0.0,0.0,0.0,0.0,,
-1.148045,167.40831835,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,3.552714998816646e-11,0.0,0.0,0.3247071000000001,-4.85302735,-0.3964846000000001,-0.5821655000000001,0.0,0.0,0.0,0.0,0.0,,
-1.148045,167.29165165,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999925789,0.0,0.0,0.3234863500000001,-4.846435550000001,-0.3964846,-0.59857185,0.0,0.0,0.0,0.0,0.0,,
