pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_AL_2007_T4_Gear_Normal_3,Random_Forest_AL_2007_T4_Gear_Normal_3
-53.648016,209.482,395.42970065,22800.0,0.0,0.0,-5.833334999998385,0.0,0.0,-0.0001249999570518,0.0,0.30957045,-5.541015700000001,-0.6760252999999998,-0.62036135,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,395.313034,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,0.0001249998859975,0.0,0.30957035,-5.539306700000001,-0.6887206999999997,-0.61549075,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,395.19636735,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,0.0,0.0,0.3085936999999999,-5.54028325,-0.6757811499999997,-0.59165035,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,395.07970065,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999570518,0.0,0.3090819999999999,-5.54223635,-0.6665037999999999,-0.5834471999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,394.963034,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,0.0001250000281061,0.0,0.3095702999999999,-5.5407715,-0.6608885499999998,-0.5965209499999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,394.84636735,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,0.0,0.0,0.30957035,-5.53808585,-0.6621092499999999,-0.6013915999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,394.72970065,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,-0.0001250000281061,0.0,0.3083496999999999,-5.53808585,-0.6655271999999999,-0.5993409000000001,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,394.613034,22800.0,0.0,0.0,-5.833332500002086,0.0,0.0,0.0001249998859975,0.0,0.30834975,-5.54077155,-0.6696776499999998,-0.61267095,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,394.49636735,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,7.105430000343797e-11,0.0,0.30761735,-5.54150405,-0.6643066499999998,-0.62087405,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,394.37970065,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999570517,0.0,0.3078613999999999,-5.5402833000000005,-0.6584472499999998,-0.6054932,0.0,0.0,0.0,0.0,0.0,,
