,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,a_e,cut_angle,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
1678,33.56000000000001,-25.52326607827427,309.49969130115227,392.1602129391693,50029.21826241759,-25.398764000000007,309.50001000000003,392.1600100000002,50149.21315600002,9.590077192703866,0.0106284189981813,-0.0067686479362648,19200.000000000007,-0.0002976995054114,0.0003189081262207,-0.0002029391692338,0.0,9.510279787790054,-8.410852843148163,0.0410949816638311,35.991082058283475,0.0200072083550347,-15.98922593304765,19201.18414813285,-506.5577606899371,0.002,-1.5773677848367946,-3.349859954480519,-0.8249802628152063,6.0,10.0,180.0,-0.9053340741310982,-4.7942575066092745,-0.1123536746779824,-3.208592231824269,390.24849693188514,-666.5925261749923,171.30241744242971,772.4346352081106,577.7250000000001
1679,33.580000000000005,-25.332123000401914,309.49974898083263,392.16019942062206,50413.21787066886,-25.206764000000007,309.50001000000003,392.1600100000002,50533.21315600001,9.61864279809856,0.0086991633020172,-0.0063078513579521,19200.000000000007,0.000559208419595,0.0002610243549043,-0.0001894206219121,0.0,9.49165655827633,17.4631756450325,0.0849930751874651,28.815012465123665,0.0029545019123392,-15.025874808969023,19200.29228921208,-472.1404321577476,0.002,-1.570793326264736,-3.274034914402044,-0.7956874956312018,6.0,10.0,180.0,-1.040928462105958,-4.792072247793181,-0.1133407617235326,-3.2075537925054105,392.9652484659426,-664.2452630874961,171.08120872121486,771.7928176040552,577.7250000000001
1680,33.60000000000001,-25.139509434844136,309.4998965496104,392.160209061585,50797.21926119809,-25.01476400000001,309.50001000000003,392.1600100000002,50917.21315600003,9.598188186524018,0.0037787692298484,-0.006634990006564,19200.000000000007,-5.435792885070025e-05,0.0001134503916661,-0.0001990615848908,0.0,9.54150187497202,12.823680115546685,0.1069664623355259,16.362778310759488,-0.0175556278128842,-15.864483604650928,19200.05120714796,-566.4259112991581,0.002,-1.6338497847354996,-3.2659207826902943,-0.7838446234436961,6.0,10.0,180.0,-0.9706895542692904,-4.776407359963413,-0.1162653295932383,-3.195116848405534,395.70912423297125,-663.474631543748,171.30410436060743,772.5299088020276,577.7250000000001
1681,33.620000000000005,-24.9480821860081,309.500014846024,392.160168089948,51181.2162943988,-24.822764000000006,309.50001000000003,392.1600100000002,51301.21315600003,9.617282875620928,-0.0001556704340417,-0.005269569278455,19200.000000000007,0.0005184083818514,-4.846147125283241e-06,-0.0001580899478722,0.0,9.548874953175073,31.741286321032288,0.1308988979319409,5.479035759670834,-0.0386007025133428,-15.86531244704311,19198.949681356007,-326.0356443386039,0.002,-1.7235535752819238,-3.2516261827869632,-0.7759168506698825,6.0,10.0,180.0,-1.0528665636453245,-4.760742633274501,-0.1172244589781211,-3.2135810728232164,398.0250621164856,-662.737315771874,171.4705521803037,773.0844544010138,577.7250000000001
1682,33.64000000000001,-24.75564894920393,309.5001299358293,392.16004085167566,51565.21268902052,-24.63076400000001,309.50001000000003,392.1600100000002,51685.21315600001,9.602841825237665,-0.0039997458372739,-0.0010309085652132,19200.000000000007,8.497508031516221e-05,-0.000119935135581,-3.085167547891828e-05,0.0,9.594253913308648,23.19171705896845,0.1074237924970079,-12.9372353850758,-0.0536886405061543,-8.788764090117013,19198.87988718402,-120.22989325612346,0.002,-1.7798876834236936,-3.270169552614166,-0.7832114596799256,6.0,10.0,180.0,-1.027494487867718,-4.749983381030567,-0.1123313590268299,-3.237253356806612,398.9010310582428,-663.618657885937,171.85377609015185,774.2867272005069,577.7250000000001
1683,33.660000000000004,-24.56384596790148,309.5002616707995,392.1599545043551,51949.21675573105,-24.438764000000003,309.50001000000003,392.1600100000002,52069.21315600001,9.609410845123444,-0.008386220237537,0.0018453788315655,19200.000000000007,0.000282182478839,-0.0002516750086429,5.5495644991318855e-05,0.0,9.647436283844495,28.91641077301889,0.0771429381777651,-27.48128733912073,-0.0693445118783998,1.9633046865246044,19198.539161223824,25.572924111467728,0.002,-1.7930362466315954,-3.293222416109157,-0.807653750104884,6.0,10.0,180.0,-1.0860016552650222,-4.738396841277415,-0.1103846460585016,-3.2167125530029126,398.9160155291214,-665.5768289429684,172.39788804507594,775.9713636002534,577.7250000000001
1684,33.680000000000014,-24.371585887375925,309.5003140813202,392.15984525437614,52333.21705933999,-24.24676400000001,309.50001000000003,392.1600100000002,52453.21315600001,9.600735889838742,-0.0101378174483404,0.0054943396571126,19200.000000000007,2.1898164115861115e-05,-0.0003040904652135,0.0001647456238919,0.0,9.667438543073883,17.100484367408804,0.01807048813069,-38.32836519869682,-0.0649668801014289,15.727271471419794,19199.09033947568,266.09482465623284,0.002,-1.7854474854178428,-3.3301734128064053,-0.8106241972167701,6.0,10.0,180.0,-1.047900802869934,-4.732513406003468,-0.1045247894619016,-3.201307353693126,397.07900776456074,-668.0774144714842,172.79844402253798,777.1806818001266,577.7250000000001
1685,33.70000000000001,-24.1797691936036,309.5002614378876,392.159747524905,52717.2168073217,-24.05476400000001,309.50001000000003,392.1600100000002,52837.21315600001,9.606852176785605,-0.0083788078279271,0.0087409488606429,19200.000000000007,0.0002054064312384,-0.0002514417802702,0.0002624750951786,0.0,9.718767436555025,11.712400862017248,-0.0249219175422884,-34.201658568907376,-0.0395699732724797,26.61478856048005,19198.746254824942,249.00175856575507,0.002,-1.7999804066400698,-3.366200792231121,-0.8301693356793222,6.0,10.0,180.0,-1.0939809286122864,-4.735359604664812,-0.1005978898249961,-3.2166959274553286,395.27300388228036,-671.0497072357421,173.338722011269,778.8213409000633,577.7250000000001
1686,33.72000000000001,-23.98706254362114,309.5002831809605,392.1596972334466,53101.21479148885,-23.86276400000001,309.50001000000003,392.1600100000002,53221.21315600001,9.58328925842457,-0.0091061847516845,0.0104301362711929,19200.000000000007,-0.0005014526152919,-0.0002731745554175,0.0003127665535595,0.0,9.675368222317813,-11.837711454445095,-0.0727557424795625,-30.51879130731896,0.0014531541599556,31.852751453706947,19199.39753923044,566.5961331843029,0.002,-1.7822344725155304,-3.414282010444336,-0.8456009313394484,6.0,10.0,180.0,-1.025667074271709,-4.736442575746299,-0.0957045814716201,-3.218671380625497,392.1435019411402,-672.756353617871,173.32036100563448,778.7151704500317,577.7250000000001
1687,33.74000000000001,-23.795160192298752,309.5001516602373,392.1597713399434,53485.21623150259,-23.67076400000001,309.50001000000003,392.1600100000002,53605.21315600003,9.58654590836212,-0.0047266732455765,0.0079591167077663,19200.000000000007,-0.0004036181241854,-0.0001416515926477,0.0002386600567303,0.0,9.713353668959018,-15.750433482936728,-0.0927697724463024,-12.464196774353749,0.0434563200489702,26.36601345630328,19199.843021425742,497.865845654099,0.002,-1.758633550581745,-3.46545963361909,-0.8686554681968419,6.0,10.0,180.0,-0.973613709764792,-4.742304516187215,-0.0918065420871465,-3.238107637992593,390.34075097057007,-674.6396768089355,173.56268050281724,779.4360852250159,577.7250000000001
