,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
649,12.980000000000004,-0.0792672392175616,233.2494277485702,401.16025958442015,202161.49918254424,0.0167465505873286,233.3282159423653,401.16001000000017,202255.96800000005,7.459736404755638,6.010441578669383,-0.0083173387382372,19200.000000000007,-0.0012062029672628,0.0005369478087336,-0.0002495844200676,0.0,7.498467364691382,-21.60045806915094,5.87896986903581,-11.82453402945957,0.0249667774667712,-24.41599921611399,19200.08040061275,291.72258346246133,0.002,-1.9311365975642911,-0.6111574738859857,-0.2154424285558444,3.0,-1.0665831501621656,-5.624994049161289,-0.2938523927001923,-2.155477662421305,365.3609989455265,-138.7041425505152,85.88710870893189,390.88883918281385,278.55000000000007
650,13.000000000000004,0.0705035472716777,233.36904284889368,401.1602925330518,202545.4995515616,0.1673981787927961,233.4472441263584,401.16001000000017,202639.96800000008,7.52586291181665,5.944096570271651,-0.0094499693373049,19200.000000000007,-0.0011755890170248,0.0010184586134244,-0.0002825330516983,0.0,7.490198431286146,-21.11578372515751,5.800740212869748,15.3657883482766,-0.0082779967221659,-31.51382743238817,19201.217648006543,317.340880966785,0.002,-1.9669054784183944,-0.622804958638678,-0.21539067027498,3.0,-1.0956818703313715,-5.668705363598081,-0.2998735342933865,-2.1449390527011523,363.03049947276327,-142.1300712752576,85.59605435446595,389.92491959140693,278.55000000000007
651,13.02,0.221851699989229,233.48712310331365,401.1602514147288,202929.50161663507,0.3193423870585725,233.5646171066653,401.16001000000017,203023.96800000005,7.581981219609501,5.873327881946881,-0.0080459892832705,19200.000000000007,-0.0014181397287401,0.0013884176840363,-0.0002414147287247,0.0,7.566406790773328,-17.45604629051136,5.770512863012238,28.69175203498339,-0.0493912607631368,-26.86212589650694,19201.11829575884,-17.211470977826956,0.002,-2.0084307168125024,-0.6387140899027811,-0.2162931754661399,3.0,-1.0077451946283362,-5.737903017444604,-0.3017806886905824,-2.139581837950836,361.73824973638165,-145.2855356376288,85.59102717723297,389.8704597957035,284.25000000000006
652,13.040000000000004,0.3739345198952158,233.60391848190864,401.16020392723095,203313.5040695785,0.4725613950512768,233.6803207069176,401.16001000000017,203407.96800000005,7.655593800354984,5.789343884637208,-0.0064319152338318,19200.000000000007,-0.0011083483570087,0.0013832514174372,-0.0001939272307572,0.0,7.534717525451566,-7.564755477533474,5.737769059926949,35.77887001930053,-0.0864620849347639,-19.80429414056856,19201.185572304443,-180.0734823301187,0.002,-2.050634137103346,-0.6634511521466167,-0.2397100130363334,3.0,-1.0557289162734027,-5.727418052279485,-0.3045248249139549,-2.1149283158856944,360.5846248681908,-146.8532678188144,85.43901358861649,389.36972989785176,284.25000000000006
653,13.060000000000006,0.5267929119721468,233.7186358383453,401.16002057146943,203697.50520696287,0.6270376177341671,233.79434172681604,401.16001000000017,203791.96800000005,7.744725811136895,5.7181526099787945,-0.0003512227898587,19200.000000000007,-0.0003053299840659,0.0017825075020756,-1.0571469319265174e-05,0.0,7.615767873574829,8.778555776096457,5.711360316721304,48.48119876272248,-0.1025015697040551,-0.73996842185106,19200.87324245995,-334.68359372366774,0.002,-2.08953940256236,-0.7113075764439576,-0.2585669025790901,3.0,-1.1231582930201691,-5.829630951651057,-0.2976661457732524,-2.098665440652427,359.9423124340954,-149.09163390940722,85.52650679430825,389.6188649489259,285.9000000000001
654,13.080000000000004,0.682255697773525,233.8321544773449,401.159891168625,204081.50377337623,0.7827514408285738,233.90666595157995,401.16001000000017,204175.96800000008,7.787781915601505,5.6299725873923325,0.0039602290121539,19200.000000000007,-0.0008566993714757,0.001692279919423,0.0001188313751557,0.0,7.757835956909979,9.288475338234155,5.695795326244298,45.6551656441389,-0.0893419574744816,13.18979512680858,19200.358123647467,-146.0390264605943,0.002,-2.101252503615264,-0.769248636269993,-0.2636277743738548,3.0,-1.0752794972734936,-5.8175121564957095,-0.2909713469095837,-2.0915471152242526,359.8831562170477,-152.33981695470362,85.91825339715413,390.8199324744629,285.9000000000001
655,13.1,0.8378476784731015,233.9445326139252,401.1598068760213,204465.50863131092,0.9396848454727512,234.0172803715448,401.16001000000017,204559.96800000005,7.866645319089953,5.52243943135467,0.0067633763671627,19200.000000000007,-0.0003058559363368,0.001041359643716,0.0002031239788232,0.0,7.735382567013214,27.715645379778227,5.651826939738579,27.10011871863157,-0.0654554576404682,22.9642687327166,19200.39429805283,-575.2136972437654,0.002,-2.107249751699345,-0.8479973197572702,-0.2808940502028905,3.0,-1.173916177164083,-5.75021933484883,-0.282257045395402,-2.0853552392949544,359.22707810852387,-154.2294084773518,85.96712669857706,390.95146623723144,287.55000000000007
656,13.120000000000005,0.9957563616645576,234.05446258150764,401.1597386269356,204849.50659721665,1.097819043479472,234.1261709868612,401.16001000000017,204943.96800000005,7.907772878772735,5.438686069519923,0.0090508889791329,19200.000000000007,-0.0008587241397031,0.0011236088842737,0.0002713730645929,0.0,7.91406396180416,17.103279089512778,5.604007278050728,14.27651921932208,-0.0346283236737303,26.363765995928627,19199.776825895744,-386.282930588405,0.002,-2.0816369925118945,-0.8845252401675351,-0.2847343677111309,3.0,-1.0674891077787183,-5.701874177337357,-0.2724968927085727,-2.0792775538017136,358.86603905426193,-158.18170423867588,86.38006334928853,392.2072331186157,287.55000000000007
657,13.140000000000006,1.1536260513263763,234.1627909138903,401.1597027165213,205233.5070258684,1.25713446059694,234.23332500002417,401.16001000000017,205327.96800000005,7.989073314641908,5.350085610097912,0.0102647499414252,19200.000000000007,-0.0001788109731496,0.0010798767859523,0.0003072834787716,0.0,7.909180746681267,38.07492378218606,5.499953754748444,-8.187020840741805,-0.016587084572688,29.29219421036364,19199.537239994945,-429.2510917037551,0.002,-2.061283583498982,-0.9702676897697085,-0.2950442444990751,3.0,-1.1896823610061122,-5.712064584466152,-0.2705840030137059,-2.0774542885003178,357.34651952713097,-161.43735211933796,86.37603167464427,392.1501165593079,288.1500000000001
658,13.160000000000004,1.313968140470521,234.26949599833915,401.159724353501,205617.50564958123,1.4176130918488603,234.3387300080472,401.16001000000017,205711.96800000005,8.026139442163608,5.256919063282895,0.0095216659086918,19200.000000000007,-0.0007958903737855,0.0009183861223013,0.0002856464990451,0.0,8.111386001385618,21.475738562125315,5.458483548338931,-22.329610307234912,0.0307432943643727,22.1020656321633,19198.57664946271,-128.76601268609642,0.002,-1.995025158036536,-1.0348827722139646,-0.2957453866445586,3.0,-1.1008812222883648,-5.725740709517135,-0.2666937826469332,-2.0869386899924582,356.70025976356544,-166.25017605966897,86.85001583732213,393.58255827965394,288.1500000000001
659,13.180000000000003,1.4748188886766618,234.3747901633962,401.1597808457329,206001.50372845813,1.5792345093245066,234.4423732093292,401.16001000000017,206095.96800000008,8.083825588537454,5.151704803970824,0.0076291926119816,19200.000000000007,-0.000765606124748,0.0004140332965325,0.0002291542672843,0.0,8.078608315904711,17.703648402676244,5.292039735647849,-46.77005247622413,0.0478601664075552,21.13809610924595,19198.781461506653,34.39335422162569,0.002,-1.9278742615292983,-1.0562712030404764,-0.2858052885750464,3.0,-1.155450641407708,-5.650879372256647,-0.2666373486190115,-2.0982896338300505,354.1186298817827,-170.37858802983448,86.69250791866106,393.025279139827,290.70000000000005
