pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net_gear,Random_Forest_gear,y_ground_truth.1,Neural_Net_plate,Random_Forest_plate
-20.12792721,229.45790067999997,386.78,22800.0,0.7475419999999922,5.784142999999915,0.0,1.923274999999336,-0.2420750000169391,0.0,0.0,-0.57465823,-5.96665036,-0.35092769999999984,-1.36679432,212.37183657896722,91.38797696287476,72.15372150727383,231.2424076171968,357.21599999999455,-0.57465823,0.4611977636814117,0.4784038049999998,-0.57465823,-0.4717278480529785,-0.5906201402000001
-20.11220767,229.57348158,386.78,22800.0,0.7859769999999955,5.779045000000309,0.0,1.9217500000001668,-0.25489999998029583,0.0,0.0,-0.59721682,-5.980224590000001,-0.35122066999999985,-1.3665892300000002,212.97466860376124,89.97414815782986,72.15371940614354,231.2424036128592,357.2399999999965,-0.59721682,0.4461423456668854,0.4658916001999998,-0.59721682,-0.489949882030487,-0.6410420178000001
-20.09572015,229.68895542,386.78,22800.0,0.8243760000000044,5.773692000000068,0.0,1.9199500000004481,-0.267650000012054,0.0,0.0,-0.62524413,-5.98193356,-0.3459960699999998,-1.37053701,213.56807172509903,88.55639322007197,72.15371769989034,231.2424003610832,357.2639999999956,-0.62524413,0.435168594121933,0.4477880845999998,-0.62524413,-0.5077204704284668,-0.6682427035
-20.078465400000002,229.80431712,386.78,22800.0,0.8627375000000015,5.768084999999985,0.0,1.918074999999853,-0.28035000000414806,0.0,0.0,-0.6489746000000001,-5.97363277,-0.3470703099999998,-1.37166494,214.15201698894384,87.13478539979761,72.15371912563687,231.24240307826864,357.09599999999625,-0.6489746000000001,0.4268566966056824,0.4256996982999999,-0.6489746000000001,-0.5256284475326538,-0.669810088
-20.06044417,229.91956156999998,386.78,22800.0,0.9010615000000044,5.762222499999723,0.0,1.916200000000146,-0.29312500001310576,0.0,0.0,-0.66708984,-5.9821288699999995,-0.35136718999999983,-1.3710497199999998,214.72651072539398,85.70929527551434,72.15371889011058,231.2424026294015,357.16799999999637,-0.66708984,0.4181989729404449,0.3780761704999999,-0.66708984,-0.5430494546890259,-0.6789360655000001
-20.04165723,230.03468369,386.78,22800.0,0.9393470000000192,5.756106000000045,0.0,1.9142750000007425,-0.3058249999838835,0.0,0.0,-0.6849121300000001,-5.97700192,-0.3498046899999998,-1.37561269,215.29153023170971,84.27998706681076,72.15372146998843,231.2424075461444,357.3119999999966,-0.6849121300000001,0.4088508486747741,0.3734716665999999,-0.6849121300000001,-0.5565573573112488,-0.6870776662
-20.02210543,230.14967836,386.78,22800.0,0.9775899999999993,5.749733500000076,0.0,1.9121499999990026,-0.31862499999846244,0.0,0.0,-0.7086914200000001,-5.95664062,-0.34545899999999985,-1.37832997,215.84702702284903,82.8469494259966,72.15371844762078,231.24240178611953,357.28799999999467,-0.7086914200000001,0.3967165946960449,0.3545346477999999,-0.7086914200000001,-0.5684691071510315,-0.6885552039999999
-20.00178966,230.26454051000002,386.78,22800.0,1.0157884999999922,5.743107499999951,0.0,1.9099249999996464,-0.33130000000625154,0.0,0.0,-0.72709962,-5.95239257,-0.3481933599999998,-1.37340807,216.39296720773095,81.41030677339043,72.15371641235184,231.2423979073094,357.2639999999956,-0.72709962,0.3833646774291992,0.3530771244999999,-0.72709962,-0.579828143119812,-0.6888076455
-19.98071076,230.37926509999997,386.78,22800.0,1.0539450000000095,5.736229500000292,0.0,1.9078250000008627,-0.3438999999829661,0.0,0.0,-0.74101564,-5.96977541,-0.3517577999999998,-1.36879383,216.9293812612744,79.97001364199393,72.15372134910315,231.2424073158044,357.3359999999957,-0.74101564,0.3578138053417206,0.3548398157999999,-0.74101564,-0.5906363725662231,-0.6896977803000001
-19.95887543,230.49384836,386.78,22800.0,1.0917664999999843,5.729162999999744,0.0,1.8910749999987435,-0.35332500002738243,0.0,0.0,-0.7567871,-5.97446291,-0.3483886599999998,-1.3717162,217.45255564170634,78.53734194599446,72.15372977406898,231.24242337220548,357.28799999999757,-0.7567871,0.3318507075309753,0.3276249816999999,-0.7567871,-0.6001955270767212,-0.6954751237999999
